date,zone,site,plot,pit,spp,sex,rcap,toe_num,SV_length,total_length,weight,tail,pc
6/16/89,C,CALI,A,4,CNTI,M,N,240,92,260,26,B,0
6/16/89,C,CALI,A,8,UTST,J,N,153,49,86,6,B,0
6/16/89,C,SAND,B,2,CNTI,M,N,241,91,310,24,W,0
6/16/89,C,SAND,B,8,CNTI,F,N,242,93,305,25,W,0
6/16/89,C,SAND,C,2,CNTI,M,N,243,94,270,24,B,0
6/16/89,G,BASN,B,1,CNTI,F,N,244,90,304,22,W,0
6/16/89,G,BASN,B,2,UTST,F,N,154,42,50,3,B,0
6/16/89,G,BASN,B,8,CNTE,J,N,222,72,265,9,W,0
6/16/89,G,BASN,B,9,CNTE,F,N,22,86,294,16,W,0
6/16/89,G,BASN,B,10,CNTI,M,N,245,70,240,9,W,0
6/16/89,G,BASN,B,11,CNTI,F,N,250,82,274,16,W,0
6/16/89,G,BASN,B,16,CNTI,F,N,251,94,308,21,W,0
6/16/89,G,IBPE,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
6/16/89,G,IBPE,C,3,CNTI,F,N,252,87,260,19,W,0
6/16/89,M,RABB,A,15,CNTI,F,N,254,100,250,26,B,0
6/16/89,M,RABB,C,1,CNTI,F,N,253,75,265,16,W,0
6/16/89,M,WELL,B,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
6/16/89,T,EAST,B,9,CNTI,F,R,4051,84,294,17,W,0
6/16/89,T,EAST,B,13,CNTI,M,N,255,92,268,20,B,0
6/16/89,T,EAST,B,16,CNTI,M,R,2054,90,300,22,W,0
6/20/89,C,CALI,A,2,UTST,NA,N,155,NA,NA,NA,W,0
6/20/89,C,CALI,A,16,CNTI,F,N,301,90,305,NA,W,0
6/20/89,C,SAND,B,7,CNTI,M,R,445,90,315,24,W,0
6/20/89,C,SAND,C,1,UTST,NA,N,100,22,54,NA,W,0
6/20/89,C,SAND,C,5,CNTI,M,N,302,96,276,26,B,0
6/20/89,C,SAND,C,11,UTST,NA,N,NA,18,NA,NA,W,0
6/20/89,C,SAND,C,12,UTST,F,N,200,46,125,4,W,0
6/20/89,C,SAND,C,16,CNTI,M,R,104,97,320,28,W,0
6/20/89,G,BASN,B,NA,PHCO,F,N,5,60,80,14,W,0
6/20/89,G,BASN,B,1,CNTI,M,N,NA,96,300,NA,NA,0
6/20/89,G,BASN,B,9,CNTI,M,N,303,76,270,12,W,0
6/20/89,G,BASN,B,14,HOMA,M,N,1,62,134,7,W,0
6/20/89,G,BASN,B,15,CNTE,F,N,23,82,260,16,W,0
6/20/89,G,IBPE,A,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
6/20/89,G,IBPE,C,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
6/20/89,M,RABB,A,1,CNTI,F,R,20,90,290,21,W,0
6/20/89,M,RABB,A,1,UTST,F,N,202,47,60,4,B,0
6/20/89,M,RABB,A,2,CNTI,M,R,4045,90,302,20,W,0
6/20/89,M,RABB,C,2,CNTI,F,N,305,96,300,30,B,0
6/20/89,M,RABB,C,7,CNTI,M,N,310,90,306,22,W,0
6/20/89,M,WELL,B,5,CNNE,F,N,12,63,210,8,W,0
6/20/89,M,WELL,B,7,UTST,F,N,201,46,124,5,W,0
6/20/89,M,WELL,B,10,CNTI,J,N,304,72,270,13,W,0
6/20/89,M,WELL,B,10,SCUN,F,N,4,60,120,8,B,0
6/20/89,T,EAST,B,1,UTST,F,N,203,50,128,5,B,0
6/20/89,T,EAST,B,4,CNTI,M,N,311,100,310,26,W,0
6/20/89,T,EAST,B,4,UTST,M,N,204,52,140,6,W,0
6/20/89,T,EAST,B,8,CNTI,F,R,2051,85,285,27,W,0
6/20/89,T,EAST,B,16,CNTI,M,N,312,92,200,24,B,0
6/23/89,C,CALI,A,4,CNTI,F,N,313,86,300,16,W,0
6/23/89,C,CALI,A,8,UTST,J,N,205,22,64,1,W,0
6/23/89,C,CALI,A,11,COTE,M,N,1,58,127,6,W,0
6/23/89,C,SAND,B,7,UTST,J,N,NA,21,50,1,W,0
6/23/89,C,SAND,B,9,UTST,J,N,NA,22,28,1,B,0
6/23/89,C,SAND,B,12,UTST,J,N,NA,21,55,1,W,0
6/23/89,C,SAND,C,1,CNTI,F,N,314,67,245,8,W,0
6/23/89,C,SAND,C,8,UTST,J,N,NA,22,50,1,W,0
6/23/89,C,SAND,C,14,CNTI,M,N,315,89,260,17,B,0
6/23/89,G,BASN,B,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
6/23/89,G,IBPE,A,16,UTST,F,N,210,46,115,4,W,0
6/23/89,G,IBPE,C,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
6/23/89,M,RABB,C,7,CNTI,F,N,320,80,245,19,W,0
6/23/89,M,RABB,C,13,CNTI,F,N,321,75,265,12,W,0
6/23/89,M,WELL,B,4,UTST,M,R,4000,49,75,4,B,0
6/23/89,M,WELL,B,15,UTST,M,N,211,56,140,6,W,0
6/23/89,T,EAST,B,3,CNTI,M,N,322,80,274,14,W,0
6/23/89,T,EAST,B,8,CNTI,F,R,302,90,205,22,B,0
6/23/89,T,EAST,B,10,CNTI,M,R,4054,92,305,24,W,0
6/23/89,T,EAST,B,11,CNTI,M,R,255,90,270,18,W,0
6/23/89,T,EAST,B,15,CNTI,M,N,323,88,290,20,W,0
6/23/89,T,WEST,A,6,CNTI,F,N,325,75,243,10,W,0
6/23/89,T,WEST,A,8,CNTI,M,N,324,90,315,22,W,0
6/23/89,T,WEST,A,10,SCUN,M,N,5,67,165,8,W,0
6/27/89,C,CALI,A,8,UTST,J,NA,NA,NA,NA,NA,W,0
6/27/89,C,SAND,B,5,CNTI,F,N,330,80,265,19,W,0
6/27/89,C,SAND,B,9,UTST,J,R,1052,27,70,1,B,0
6/27/89,C,SAND,B,13,EUOB,F,N,4,97,275,30,W,0
6/27/89,C,SAND,C,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
6/27/89,G,BASN,B,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
6/27/89,G,IBPE,A,8,UTST,J,N,212,27,65,1,W,0
6/27/89,G,IBPE,C,3,UTST,J,N,213,22,47,1,B,0
6/27/89,G,IBPE,C,10,UTST,M,N,214,52,131,7,W,0
6/27/89,G,IBPE,C,15,UTST,J,N,NA,21,45,NA,W,0
6/27/89,M,RABB,A,15,CNTI,F,N,331,81,285,19,W,0
6/27/89,M,RABB,C,15,UTST,J,NA,NA,NA,NA,NA,NA,0
6/27/89,M,RABB,C,16,CNTI,NA,R,NA,NA,NA,NA,W,0
6/27/89,M,WELL,B,NA,UKLI,NA,NA,NA,NA,NA,NA,NA,0
6/27/89,T,EAST,B,4,UTST,NA,NA,NA,23,55,1,W,0
