date,scientific_name,common_name,zone,site,plot,pit,spp,sex,rcap,toe_num,sv_length,total_length,weight,tail,pc
6/16/89,cnemidophorus tigrisatus,western whiptail,c,cali,a,4,cnti,m,n,240,92,260,26,b,0
6/16/89,uta stansburiana,side-blotched lizard,c,cali,a,8,utst,j,n,153,49,86,6,b,0
6/16/89,cnemidophorus tigrisatus,western whiptail,c,sand,b,2,cnti,m,n,241,91,310,24,w,0
6/16/89,cnemidophorus tigrisatus,western whiptail,c,sand,b,8,cnti,f,n,242,93,305,25,w,0
6/16/89,cnemidophorus tigrisatus,western whiptail,c,sand,c,2,cnti,m,n,243,94,270,24,b,0
6/16/89,cnemidophorus tigrisatus,western whiptail,g,basn,b,1,cnti,f,n,244,90,304,22,w,0
6/16/89,uta stansburiana,side-blotched lizard,g,basn,b,2,utst,f,n,154,42,50,3,b,0
6/16/89,cnemidophorus tessalatus,colorado checkered,g,basn,b,8,cnte,j,n,222,72,265,9,w,0
6/16/89,cnemidophorus tessalatus,colorado checkered,g,basn,b,9,cnte,f,n,22,86,294,16,w,0
6/16/89,cnemidophorus tigrisatus,western whiptail,g,basn,b,10,cnti,m,n,245,70,240,9,w,0
6/16/89,cnemidophorus tigrisatus,western whiptail,g,basn,b,11,cnti,f,n,250,82,274,16,w,0
6/16/89,cnemidophorus tigrisatus,western whiptail,g,basn,b,16,cnti,f,n,251,94,308,21,w,0
6/16/89,cnemidophorus tigrisatus,western whiptail,g,ibpe,c,3,cnti,f,n,252,87,260,19,w,0
6/16/89,cnemidophorus tigrisatus,western whiptail,m,rabb,a,15,cnti,f,n,254,100,250,26,b,0
6/16/89,cnemidophorus tigrisatus,western whiptail,m,rabb,c,1,cnti,f,n,253,75,265,16,w,0
6/16/89,cnemidophorus tigrisatus,western whiptail,t,east,b,9,cnti,f,r,4051,84,294,17,w,0
6/16/89,cnemidophorus tigrisatus,western whiptail,t,east,b,13,cnti,m,n,255,92,268,20,b,0
6/16/89,cnemidophorus tigrisatus,western whiptail,t,east,b,16,cnti,m,r,2054,90,300,22,w,0
6/20/89,cnemidophorus tigrisatus,western whiptail,c,sand,b,7,cnti,m,r,445,90,315,24,w,0
6/20/89,cnemidophorus tigrisatus,western whiptail,c,sand,c,5,cnti,m,n,302,96,276,26,b,0
6/20/89,uta stansburiana,side-blotched lizard,c,sand,c,12,utst,f,n,200,46,125,4,w,0
6/20/89,cnemidophorus tigrisatus,western whiptail,c,sand,c,16,cnti,m,r,104,97,320,28,w,0
6/20/89,phrynosoma cornutum,texas horned,g,basn,b,NA,phco,f,n,5,60,80,14,w,0
6/20/89,cnemidophorus tigrisatus,western whiptail,g,basn,b,9,cnti,m,n,303,76,270,12,w,0
6/20/89,holbrookia maculata,lesser earless,g,basn,b,14,homa,m,n,1,62,134,7,w,0
6/20/89,cnemidophorus tessalatus,colorado checkered,g,basn,b,15,cnte,f,n,23,82,260,16,w,0
6/20/89,cnemidophorus tigrisatus,western whiptail,m,rabb,a,1,cnti,f,r,20,90,290,21,w,0
6/20/89,uta stansburiana,side-blotched lizard,m,rabb,a,1,utst,f,n,202,47,60,4,b,0
